iter	Passed	Remaining
480	691	745
481	693	745
482	695	744
483	696	742
484	697	741
485	699	739
486	700	737
487	701	736
488	703	734
489	706	734
490	707	733
491	709	732
492	711	731
493	712	729
494	713	728
495	714	726
496	716	724
497	717	723
498	719	722
499	721	721
500	723	720
501	725	719
502	726	717
503	727	716
504	729	714
505	730	713
506	731	711
507	733	710
508	735	709
509	737	708
510	738	706
511	740	705
512	741	704
513	742	702
514	744	700
515	745	699
516	746	697
517	749	697
518	750	695
519	752	694
520	753	693
521	755	691
522	756	690
523	758	688
524	759	687
525	760	685
526	762	684
527	765	684
528	766	682
529	768	681
530	770	680
531	771	678
532	772	677
533	774	675
534	775	674
535	777	672
536	778	671
537	780	670
538	782	668
539	784	667
540	785	666
541	787	665
542	788	663
543	790	662
544	791	661
545	794	660
546	796	659
547	798	658
548	800	657
549	801	655
550	802	654
551	804	652
552	805	651
553	807	649
554	809	648
555	810	647
556	812	645
557	813	644
558	815	643
559	816	641
560	817	639
561	819	638
562	820	636
563	821	635
564	824	635
565	826	633
566	828	632
567	830	631
568	831	629
569	832	628
570	834	626
571	835	625
572	837	624
573	839	623
574	840	621
575	842	620
576	844	618
577	845	617
578	846	615
579	848	614
580	849	612
581	850	611
582	852	609
583	855	609
584	856	607
585	858	606
586	859	604
587	860	603
588	862	601
589	863	600
590	865	598
591	866	597
592	868	595
593	870	594
594	871	593
595	873	591
596	875	590
597	876	589
598	877	587
599	879	586
600	881	584
601	884	584
602	886	583
603	887	581
604	889	580
605	890	578
606	892	577
607	893	575
608	894	574
609	896	572
610	898	571
611	899	570
612	901	569
613	903	567
614	904	566
615	906	564
616	907	563
617	908	561
618	910	560
619	912	559
620	914	558
621	916	556
622	917	555
623	919	554
624	920	552
625	922	551
626	923	549
627	925	548
628	926	546
629	929	545
630	931	544
631	932	543
632	934	541
633	935	540
634	937	538
635	938	537
636	939	535
637	941	533
638	943	532
639	944	531
640	946	530
641	947	528
642	949	527
643	950	525
644	952	524
645	953	522
646	954	520
647	956	519
648	958	518
649	959	516
650	961	515
651	963	514
652	964	512
653	966	511
654	967	509
655	969	508
656	970	506
657	973	505
658	975	504
659	976	503
660	978	501
661	979	500
662	981	498
663	982	497
664	984	495
665	987	494
666	989	494
667	991	492
668	993	491
669	995	490
670	996	488
671	998	487
672	999	485
673	1004	486
674	1007	484
675	1009	483
676	1011	482
677	1013	481
678	1015	480
679	1019	479
680	1021	478
681	1022	476
682	1024	475
683	1026	474
684	1028	472
685	1030	471
686	1032	470
687	1034	469
688	1036	467
689	1038	466
690	1040	465
691	1042	463
692	1043	462
693	1045	461
694	1049	460
695	1050	458
696	1052	457
697	1054	456
698	1055	454
699	1057	453
700	1058	451
701	1060	450
702	1062	448
703	1064	447
704	1067	446
705	1069	445
706	1071	444
707	1073	442
708	1075	441
709	1078	440
710	1080	439
711	1081	437
712	1083	436
713	1085	434
714	1086	433
715	1088	431
716	1089	430
717	1093	429
718	1095	427
719	1097	426
720	1099	425
721	1100	423
722	1102	422
723	1104	420
724	1106	419
725	1108	418
726	1110	416
727	1112	415
728	1113	414
729	1115	412
730	1116	410
731	1118	409
732	1119	407
733	1122	406
734	1124	405
735	1126	403
736	1127	402
737	1129	401
738	1131	399
739	1132	397
740	1133	396
741	1135	394
742	1138	393
743	1139	392
744	1141	390
745	1142	389
746	1144	387
747	1146	386
748	1147	384
749	1149	383
750	1153	382
751	1154	380
752	1156	379
753	1158	378
754	1160	376
755	1161	374
756	1163	373
757	1164	371
758	1167	370
759	1169	369
760	1170	367
761	1172	366
762	1174	364
763	1175	363
764	1177	361
765	1178	360
766	1180	358
767	1182	357
768	1184	355
769	1185	354
770	1187	352
771	1188	351
772	1190	349
773	1193	348
774	1194	346
775	1196	345
776	1198	343
777	1199	342
778	1201	340
779	1202	339
780	1204	337
781	1205	336
782	1207	334
783	1208	333
784	1211	331
785	1213	330
786	1215	328
787	1217	327
788	1218	325
789	1220	324
790	1221	322
791	1223	321
792	1225	320
793	1227	318
794	1229	317
795	1231	315
796	1232	314
797	1234	312
798	1236	310
799	1237	309
800	1239	307
801	1241	306
802	1244	305
803	1245	303
804	1247	302
805	1249	300
806	1251	299
807	1252	297
808	1255	296
809	1256	294
810	1258	293
811	1260	291
812	1261	290
813	1263	288
814	1264	286
815	1265	285
816	1267	283
817	1269	282
818	1271	280
819	1273	279
820	1274	277
821	1275	276
822	1277	274
823	1278	273
824	1279	271
825	1281	269
826	1282	268
827	1283	266
828	1285	265
829	1287	263
830	1288	262
831	1290	260
832	1291	258
833	1293	257
834	1294	255
835	1295	254
836	1297	252
837	1298	251
838	1300	249
839	1301	247
840	1302	246
841	1304	244
842	1305	243
843	1306	241
844	1308	240
845	1310	238
846	1311	236
847	1313	235
848	1317	234
849	1318	232
850	1320	231
851	1322	229
852	1323	228
853	1325	226
854	1327	225
855	1330	223
856	1332	222
857	1334	220
858	1336	219
859	1338	217
860	1340	216
861	1342	214
862	1344	213
863	1347	212
864	1349	210
865	1351	209
866	1352	207
867	1354	205
868	1355	204
869	1357	202
870	1359	201
871	1361	199
872	1363	198
873	1365	196
874	1367	195
875	1369	193
876	1370	192
877	1372	190
878	1374	189
879	1377	187
880	1379	186
881	1380	184
882	1383	183
883	1384	181
884	1385	180
885	1387	178
886	1390	177
887	1392	175
888	1394	174
889	1396	172
890	1398	171
891	1400	169
892	1401	167
893	1403	166
894	1406	165
895	1409	163
896	1410	162
897	1413	160
898	1414	158
899	1416	157
900	1417	155
901	1420	154
902	1422	152
903	1424	151
904	1426	149
905	1428	148
906	1430	146
907	1431	145
908	1434	143
909	1437	142
910	1439	140
911	1440	139
912	1442	137
913	1444	135
914	1446	134
915	1447	132
916	1449	131
917	1452	129
918	1453	128
919	1455	126
920	1457	125
921	1458	123
922	1460	121
923	1461	120
